height,grange,dop
201.46076564164198,640.699910816557,0.0
196.89595610760398,648.5876390306121,0.0
192.18588047744998,656.4860378357711,0.0
191.477312810302,657.655961517237,0.0
190.81432353520302,658.7470555621201,0.0
189.74383036934898,660.502740774919,0.0
188.36839380377498,662.749561818448,0.0
187.138279221479,664.75190474054,0.0
185.537683902273,667.348918873177,0.0
183.85773289077,670.066021456137,0.0
181.443409174964,673.95788711232,0.0
178.722550305332,678.328676097529,0.0
174.9526956405,684.3631810453869,0.0
169.967383234363,692.313682959527,0.0
164.958625265394,700.2760421607201,0.0
159.930420609263,708.250331732911,0.0
154.885844946859,716.2366169478939,0.0
149.827357547223,724.234958231611,0.0
144.75698114491001,732.245408160879,0.0
139.676416913383,740.268016926331,0.0
134.587120714323,748.302831528974,0.0
129.490356706746,756.3498962314051,0.0
128.694664557406,757.606346179235,0.0
127.87332766751801,758.903380972475,0.0
126.69929104275299,760.756842215791,0.0
125.84070946939501,762.1110913075979,0.0
123.65993218628999,765.546642680455,0.0
121.527361738325,768.903713198308,0.0
118.277841032868,774.0241414439321,0.0
114.415686434617,780.136409145,0.0
113.11279357128201,782.2077811545739,0.0
111.64499047286101,784.54713919962,0.0
110.28610931137501,786.7174257740261,0.0
109.34374696136999,788.224190258156,0.0
108.320700522782,789.861051782415,0.0
107.368795844927,791.384919101548,0.0
106.35610753395201,793.006533098399,0.0
105.439219992106,794.4745192422071,0.0
104.65843292007798,795.7238429622861,0.0
103.825821843064,797.054613711674,0.0
102.629663944802,798.962089993842,0.0
101.530721994298,800.7078267782331,0.0
100.415500328618,802.470386986579,0.0
99.4068115388518,804.054757473164,0.0
98.3698470789432,805.672121962148,0.0
97.10232322661341,807.6315142274229,0.0
95.8154505170223,809.599787961228,0.0
94.5356053380101,811.536271972717,0.0
93.66744384268709,812.838530714417,0.0
92.81534922664291,814.1085630746941,0.0
91.6438114488574,815.8431784986709,0.0
90.55871525106701,817.439899739859,0.0
89.4570710394664,819.0534526944859,0.0
88.4295939710782,820.553405559572,0.0
87.4612049864827,821.964120407248,0.0
86.4127536638453,823.489471762701,0.0
85.834775903807,824.329849455926,0.0
85.335173530565,825.056122830386,0.0
84.7625227995359,825.888619521655,0.00017213633171756358
84.19571517260741,826.713100361187,0.0005934770513155571
83.43285060120891,827.823519414837,0.0009085161759479975
82.9336358642113,828.550332905565,0.0005468320963329051
81.94653652906979,829.9879572726879,0.0009909620777791988
80.23093006831999,832.488510423476,0.0015801067814206035
78.43770521945041,835.1048896927049,0.0014994248926691516
75.6039627865739,839.245006226422,0.0019525730572384908
